Timestamp,Panel 1 Watts,Panel 2 Watts,Panel 3 Watts,Panel 4 Watts,Temp 1 (C),Temp 2 (C),Temp 3 (C),Temp 4 (C),Wind Speed- m/s,Wind Direction- Degrees,Irradiance W/m^2,Ambient Temp,panel_1_theoretical_max_output_power,panel_2_theoretical_max_output_power,panel_3_theoretical_max_output_power,panel_4_theoretical_max_output_power,panel_1_output_efficiency,panel_2_output_efficiency,panel_3_output_efficiency,panel_4_output_efficiency,panel_1_output_watt_hours,panel_2_output_watt_hours,panel_3_output_watt_hours,panel_4_output_watt_hours,panel_1_output_watts_normalized,panel_2_output_watts_normalized,panel_3_output_watts_normalized,panel_4_output_watts_normalized,panel_1_output_watt_hours_normalized,panel_2_output_watt_hours_normalized,panel_3_output_watt_hours_normalized,panel_4_output_watt_hours_normalized
2021-11-21 00:00:01,0.0,0.0,0.0,0.0,-4.75,-6.06,-5.81,-5.25,0.666,159.1,0.0,1.005,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:00:31,0.0,0.0,0.0,0.0,-4.81,-6.12,-5.94,-5.37,0.627,156.5,0.0,1.017,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:01:01,0.0,0.0,0.0,0.0,-4.75,-6.06,-5.87,-5.37,0.686,147.7,0.0,0.994,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:01:31,0.0,0.0,0.0,0.0,-4.62,-5.94,-5.81,-5.37,0.588,155.3,0.0,0.984,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:02:01,0.0,0.0,0.0,0.0,-4.62,-5.87,-5.75,-5.31,0.568,156.8,0.0,0.969,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:02:31,0.0,0.0,0.0,0.0,-4.69,-5.94,-5.87,-5.37,0.451,164.6,0.0,0.96,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:03:01,0.0,0.0,0.0,0.0,-4.75,-5.94,-6.0,-5.37,0.608,183.2,0.0,0.932,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:03:31,0.0,0.0,0.0,0.0,-4.81,-6.06,-6.0,-5.44,0.333,185.3,0.0,0.897,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:04:01,0.0,0.0,0.0,0.0,-4.94,-6.19,-6.25,-5.5,0.666,206.8,0.0,0.883,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21 00:04:31,0.0,0.0,0.0,0.0,-4.87,-6.12,-6.25,-5.5,0.353,202.6,0.0,0.864,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
